n_nodes,algorithm,trials,memory_violation_rate_simulated,mean_k_offload,capacity_gb_assumed,measurement_status
150,greedy_local_information_only,30,1.0,139.0,16.0,software_simulator_proxy_not_physical_oom
160,deepseek_best_response_psne,30,0.0,75.3,16.0,software_simulator_proxy_not_physical_oom
160,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
160,all_offload,30,1.0,160.0,16.0,software_simulator_proxy_not_physical_oom
160,random_p_0.5,30,0.9,80.26666666666667,16.0,software_simulator_proxy_not_physical_oom
160,greedy_local_information_only,30,1.0,149.0,16.0,software_simulator_proxy_not_physical_oom
170,deepseek_best_response_psne,30,0.0,75.96666666666667,16.0,software_simulator_proxy_not_physical_oom
170,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
170,all_offload,30,1.0,170.0,16.0,software_simulator_proxy_not_physical_oom
170,random_p_0.5,30,0.9666666666666667,84.16666666666667,16.0,software_simulator_proxy_not_physical_oom
170,greedy_local_information_only,30,1.0,159.0,16.0,software_simulator_proxy_not_physical_oom
180,deepseek_best_response_psne,30,0.0,76.03333333333333,16.0,software_simulator_proxy_not_physical_oom
180,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
180,all_offload,30,1.0,180.0,16.0,software_simulator_proxy_not_physical_oom
180,random_p_0.5,30,1.0,90.6,16.0,software_simulator_proxy_not_physical_oom
180,greedy_local_information_only,30,1.0,168.0,16.0,software_simulator_proxy_not_physical_oom
190,deepseek_best_response_psne,30,0.0,76.3,16.0,software_simulator_proxy_not_physical_oom
190,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
190,all_offload,30,1.0,190.0,16.0,software_simulator_proxy_not_physical_oom
190,random_p_0.5,30,1.0,95.66666666666667,16.0,software_simulator_proxy_not_physical_oom
190,greedy_local_information_only,30,1.0,178.0,16.0,software_simulator_proxy_not_physical_oom
200,deepseek_best_response_psne,30,0.0,76.83333333333333,16.0,software_simulator_proxy_not_physical_oom
200,all_local,30,0.0,0.0,16.0,software_simulator_proxy_not_physical_oom
200,all_offload,30,1.0,200.0,16.0,software_simulator_proxy_not_physical_oom
200,random_p_0.5,30,1.0,100.9,16.0,software_simulator_proxy_not_physical_oom
200,greedy_local_information_only,30,1.0,187.0,16.0,software_simulator_proxy_not_physical_oom
