algorithm,k_offload,offload_fraction,potential,system_total_cost_normalized,mean_energy_mj_per_task_simulated,queue_delay_ms_per_offloaded_task,mean_queue_delay_ms_per_task,vram_load_gb_simulated,vram_load_fraction,memory_violation_simulated,is_psne
deepseek_best_response_psne,71,0.71,230.89654880691745,249.19106803394166,160380.16344921876,214.02512523750255,151.9578389186268,14.58,0.91125,0,1
all_local,0,0.0,280.60009595208305,280.6,433080.0,0.0,0.0,0.0,0.0,0,0
all_offload,100,1.0,945.9384060756979,10709.357729890662,0.22914062499999996,214.4218679105117,214.4218679105117,23.0,1.4375,1,0
greedy_local_information_only,90,0.9,316.08107794935245,1384.9340881921678,70740.2071953125,214.2848940444208,192.8564046399787,20.0,1.25,1,0
random_p_0.5_mean,49.882,0.49882,254.487382922805,257.1152467527624,216767.2742936797,213.7371616820348,106.62023068779119,11.464480000000002,0.7165300000000001,0.0,not_applicable
