timestamp_anon,queue_size,queue_delay_ms,k_equivalent,queue_fit_ms
1662866016.0,0.0,201.0,0.0,213.0599592024217
1662866073.0,0.0,185.5,0.0,213.0599592024217
1662866130.0,0.3333333333333333,212.0,26.666666666666664,213.4214403902539
1662866187.0,0.3333333333333333,212.0,26.666666666666664,213.4214403902539
1662866244.0,0.3333333333333333,227.5,26.666666666666664,213.4214403902539
1662866301.0,0.0,177.5,0.0,213.0599592024217
1662866358.0,0.0,174.5,0.0,213.0599592024217
1662866415.0,0.3333333333333333,197.0,26.666666666666664,213.4214403902539
1662866472.0,0.0,166.0,0.0,213.0599592024217
1662866529.0,0.0,197.0,0.0,213.0599592024217
1662866586.0,0.3333333333333333,176.0,26.666666666666664,213.4214403902539
1662866643.0,0.0,180.0,0.0,213.0599592024217
1662866700.0,0.0,169.5,0.0,213.0599592024217
1662866757.0,0.0,175.5,0.0,213.0599592024217
1662866814.0,0.3333333333333333,182.5,26.666666666666664,213.4214403902539
1662866871.0,0.0,185.0,0.0,213.0599592024217
1662866928.0,0.0,162.0,0.0,213.0599592024217
1662866985.0,0.0,180.0,0.0,213.0599592024217
1662867042.0,0.0,199.0,0.0,213.0599592024217
1662867099.0,0.0,202.0,0.0,213.0599592024217
1662867156.0,0.0,172.5,0.0,213.0599592024217
1662867213.0,0.0,191.5,0.0,213.0599592024217
1662867270.0,0.0,195.0,0.0,213.0599592024217
1662867327.0,0.0,195.0,0.0,213.0599592024217
1662867384.0,0.3333333333333333,208.0,26.666666666666664,213.4214403902539
1662867441.0,0.0,194.0,0.0,213.0599592024217
1662867498.0,0.0,192.5,0.0,213.0599592024217
1662867555.0,0.0,152.5,0.0,213.0599592024217
1662867612.0,0.0,163.5,0.0,213.0599592024217
1662867669.0,0.0,216.0,0.0,213.0599592024217
1662867726.0,0.0,231.0,0.0,213.0599592024217
1662867783.0,0.0,248.0,0.0,213.0599592024217
1662867840.0,0.0,194.0,0.0,213.0599592024217
1662867897.0,0.0,180.0,0.0,213.0599592024217
1662867954.0,0.0,184.0,0.0,213.0599592024217
1662868011.0,0.0,183.0,0.0,213.0599592024217
1662868068.0,0.0,180.0,0.0,213.0599592024217
1662868125.0,0.0,186.5,0.0,213.0599592024217
1662868182.0,0.0,207.5,0.0,213.0599592024217
1662868239.0,0.0,167.0,0.0,213.0599592024217
