quantile,vram_utilization_proxy,empirical_tail_pressure,barrier_fit
0.05,0.4036192365335449,0.05263157894736842,0.00816867594762007
0.0619620253164557,0.4285675222660047,0.05330274610350179,0.010751121169412852
0.0739240506329114,0.44842316780437835,0.053991252050300705,0.013378362674992355
0.08588607594936709,0.4592688744633672,0.0546977774700547,0.015075331384860568
0.09784810126582279,0.46802598518910343,0.055423039146906126,0.016601340439266712
0.10981012658227848,0.46918969849246234,0.05616779239246357,0.01681543102799481
0.12177215189873418,0.46982445120338534,0.05693283366964543,0.016933369138239587
0.13373417721518988,0.4858075465044521,0.057719003433915395,0.02019175855274775
0.14569620253164556,0.5000575904171088,0.05852718921321677,0.02362204561875158
0.15765822784810127,0.5121285840706976,0.059358328950334355,0.026979922548214203
0.16962025316455698,0.522332632516346,0.06021341463414634,0.03018812970256394
0.18158227848101266,0.5306663260785384,0.06109349624932334,0.03308931105243231
0.19354430379746834,0.5379933326414438,0.061999686077538856,0.0358694972840497
0.20550632911392402,0.544099414014331,0.06293316338723812,0.03836404758017796
0.21746835443037976,0.5508037440143199,0.06389517955354254,0.04130326293962209
0.22943037974683544,0.5562880190425813,0.0648870636550308,0.04387428281164948
0.24139240506329113,0.5619214493520233,0.06591022860003337,0.04668194638950557
0.2533544303797468,0.567737312143663,0.06696617784182418,0.04976915513132964
0.26531645569620255,0.5723684210526315,0.0680565127498277,0.05237283907995966
0.27727848101265823,0.5772084104734198,0.06918294071284703,0.05523963847037853
0.2892405063291139,0.5815118240547619,0.0703472840605521,0.057920145670879164
0.3012025316455696,0.5849841311822269,0.07155148990127705,0.0601774987767955
0.31316455696202533,0.5887397513885215,0.07279764098783635,0.0627181755183667
0.325126582278481,0.5905874752398457,0.07408796773891026,0.06400725258668122
0.3370886075949367,0.5925077140086397,0.07542486156196296,0.06537500283773993
0.3490506329113924,0.5936590848981751,0.07681088964511425,0.06620907920109016
0.36101265822784806,0.5945583179053161,0.07824881141045958,0.06686789596764656
0.3729746835443038,0.5954046548532135,0.07974159685071161,0.06749394613822488
0.3849367088607595,0.5972031208674954,0.0812924470055567,0.06884383274568306
0.39689873417721516,0.5991073790002645,0.08290481687480324,0.07030256269516814
0.4088607594936709,0.6013290134884951,0.08458244111349036,0.07204352561205704
0.4208227848101266,0.6027096220052072,0.08632936291115724,0.0731470799751748
0.43278481012658226,0.6041854006876488,0.08814996652532917,0.07434540491975812
0.44474683544303795,0.6063012430573922,0.09004901402028953,0.0760977887693271
0.45670886075949363,0.6095807987304945,0.09203168685927306,0.07889596488437284
0.46867088607594937,0.6134951071145199,0.09410363311494939,0.08237073064733572
0.48063291139240505,0.6178854800317376,0.09627102120399708,0.08645051277113255
0.49259493670886073,0.6227519174821475,0.09854060122240238,0.09120922336155328
0.5045569620253165,0.6282531076434805,0.10091977516607054,0.09690480540751963
0.5165189873417722,0.6360817244115313,0.10341667757559889,0.10562861043570398
0.5284810126582279,0.6448006242627752,0.10604026845637583,0.11627199688524337
0.5404430379746835,0.6498280878074584,0.10880044071064592,0.12288994170672995
0.5524050632911393,0.6534845279026712,0.1117081447963801,0.12793852658087876
0.564367088607595,0.6543308648505687,0.114775533924161,0.1291363500689732
0.5763291139240507,0.6548333774133827,0.11801613385121006,0.12985285719273668
0.5882911392405064,0.6552829939169532,0.12144504227517294,0.13049731167926049
0.6002531645569621,0.655811954509389,0.12507916402786576,0.1312595894617438
0.6122151898734177,0.6562615710129596,0.12893748979924924,0.13191102550371198
0.6241772151898735,0.6566847394869082,0.1330414280902661,0.13252709486657838
0.6361392405063292,0.6570285638719915,0.13741520264393814,0.1330297692090259
0.6481012658227848,0.6574252843163184,0.1420863309352518,0.13361214772412117
0.6600632911392406,0.6577955567310235,0.14708620368646436,0.13415800103311862
0.6720253164556962,0.658245173234594,0.15245079120030874,0.13482382177467156
0.6839873417721519,0.6585625495900556,0.15822151011415983,0.1352958014451782
0.6959493670886077,0.658879925945517,0.1644462947543714,0.13576943338163022
0.7079113924050633,0.6593030944194658,0.17118093174431204,0.13640352282184784
0.719873417721519,0.6596733668341709,0.17849073655671038,0.13696077989434807
0.7318354430379748,0.6600171912192542,0.1864526787821572,0.13748027117304698
0.7437974683544304,0.6604932557524464,0.19515810276679843,0.13820282132372297
0.7557594936708861,0.661048664374504,0.20471624773257324,0.13905059749343754
0.7677215189873419,0.6616506187388197,0.21525885558583116,0.13997529463209357
0.7796835443037975,0.6624504099444591,0.22694627980465384,0.1412134203236305
0.7916455696202532,0.6645331922771753,0.23997569866342658,0.1444893329335904
