algorithm,n,k_offload,offload_fraction,trace_based_mean_base_cost,shared_congestion_cost,memory_capacity_k_assumed,memory_violation,potential,system_total_cost,is_psne
best_response_psne,100,74,0.74,1.5872855555555558,0.6682404293109203,80,0,166.17095396957873,208.17834732456367,1
all_local,100,0,0.0,2.55,0.006194363881139614,80,0,254.99999999999997,254.99999999999997,0
all_offload,100,100,1.0,1.4262944444444443,8.87973483465852,80,1,236.61978678297314,1030.6029279102963,0
random_p_0.5_mean,100.0,50.09,0.5009,1.9872103311111111,0.07639416986178518,80.0,0.0,199.76145232153365,202.73269629808283,0.0
greedy_trace_base_only,100,100,1.0,1.4262944444444443,8.87973483465852,80,1,236.61978678297314,1030.6029279102963,0
social_optimum_diagnostic,100,57,0.57,1.7125766666666669,0.12840131846887665,80,0,172.89266865201253,178.57654181939267,0
