node,gmt_create,predict_type,exec_time_seconds_trace,prompt_length_trace,num_inference_steps_trace,num_lora_trace,e_loc_assumed_mapped,e_tx_assumed_mapped,equilibrium_strategy,social_optimum_strategy
58,2024-12-06 00:39:17,TXT_2_IMG,10.0,25.0,30.0,0,1.4,0.19999999999999998,0,0
59,2024-12-06 00:39:20,TXT_2_IMG,13.0,20.0,30.0,0,1.7000000000000002,0.19,1,0
60,2024-12-06 00:39:23,TXT_2_IMG,10.0,28.0,30.0,0,1.4,0.206,0,0
61,2024-12-06 00:39:23,TXT_2_IMG,10.0,27.0,30.0,0,1.4,0.204,0,0
62,2024-12-06 00:39:28,TXT_2_IMG,11.0,21.0,30.0,0,1.5,0.192,1,0
63,2024-12-06 00:39:29,TXT_2_IMG,10.0,19.0,30.0,0,1.4,0.188,0,0
64,2024-12-06 00:39:50,TXT_2_IMG,13.0,29.0,30.0,0,1.7000000000000002,0.208,1,0
65,2024-12-06 00:39:55,TXT_2_IMG,8.0,22.0,30.0,0,1.2,0.194,0,0
66,2024-12-06 00:39:56,TXT_2_IMG,10.0,23.0,30.0,0,1.4,0.19599999999999998,0,0
67,2024-12-06 00:40:04,TXT_2_IMG,11.0,24.0,30.0,0,1.5,0.198,1,0
68,2024-12-06 00:40:06,TXT_2_IMG,9.0,20.0,30.0,0,1.3,0.19,0,0
69,2024-12-06 00:40:12,TXT_2_IMG,9.0,31.0,30.0,0,1.3,0.212,0,0
70,2024-12-06 00:40:12,TXT_2_IMG,9.0,28.0,30.0,0,1.3,0.206,0,0
71,2024-12-06 00:40:23,TXT_2_IMG,50.0,69.0,30.0,1,5.4,0.28800000000000003,1,1
72,2024-12-06 00:40:24,TXT_2_IMG,9.0,24.0,30.0,0,1.3,0.198,0,0
73,2024-12-06 00:40:24,TXT_2_IMG,12.0,21.0,30.0,0,1.6,0.192,1,0
74,2024-12-06 00:40:26,TXT_2_IMG,10.0,33.0,30.0,0,1.4,0.216,0,0
75,2024-12-06 00:40:35,TXT_2_IMG,10.0,22.0,30.0,0,1.4,0.194,0,0
